text,lang,lang_code
Whaddya want TODO?,English (Slang),en-sl
Wat wil jy doen?,Afrikaans,af
Çfarë doni të bëni?,Albanian,sq
ምን ማድረግ ትፈልጋለህ?,Amharic,am
ماذا تريد أن تفعل؟,Arabic,ar
Ինչ եք ուզում անել?,Armenian,hy
আপুনি কি কৰিব বিচাৰে?,Assamese,as
¿Kunsa jumajj lurañ munta?,Aymara,ay
Nə etmək istəyirsən?,Azerbaijani,az
I b’a fɛ ka mun kɛ?,Bambara,bm
Zer egin nahi duzu?,Basque,eu
Што ты хочаш зрабіць?,Belarusian,be
আপনি কি করতে চান?,Bengali,bn
का कइल चाहत बानी?,Bhojpuri,bho
sta zelis da radis?,Bosnian,bs
Какво искаш да правиш?,Bulgarian,bg
Què vols fer?,Catalan,ca
Unsa imong gusto buhaton?,Cebuano,ceb
你想让我做什么？,Chinese (Simplified),zh-CN
你想讓我做什麼？,Chinese (Traditional),zh-TW
Chì vulete fà ?,Corsican,co
Što želiš raditi?,Croatian,hr
Co chceš dělat?,Czech,cs
Hvad vil du lave?,Danish,da
ކޮންކަމެއް ކުރަން ބޭނުންވަނީ؟,Dhivehi,dv
तुस के करना चांदे ओ?,Dogri,doi
Wat wil je doen?,Dutch,nl
What do you want to do?,English,en
Kion vi volas fari?,Esperanto,eo
Mida sa teha tahad?,Estonian,et
Nukae nèdi be yeawɔ?,Ewe,ee
Ano ang gusto mo'ng gawin?,Filipino,fil
Mitä haluat tehdä?,Finnish,fi
Qu'est-ce que vous voulez faire?,French,fr
Wat wolsto dwaan?,Frisian,fy
Que queres facer?,Galician,gl
რისი გაკეთება გინდა?,Georgian,ka
Was möchten Sie tun?,German,de
Τι θέλετε να κάνετε;,Greek,el
Mbaʼépa rejapose?,Guarani,gn
તમે શું કરવા માંગો છો?,Gujarati,gu
Kisa ou vle fe?,Haitian Creole,ht
Me kake so ka yi?,Hausa,ha
He aha kāu makemake e hana ai?,Hawaiian,haw
מה אתה רוצה לעשות?,Hebrew,he
आप क्या करना चाहते हैं?,Hindi,hi
Koj xav ua dab tsi?,Hmong,hmn
Mit akarsz csinálni?,Hungarian,hu
Hvað viltu gera?,Icelandic,is
Kedu ihe ị chọrọ ịme?,Igbo,ig
Ania ti kayatmo nga aramiden?,Ilocano,ilo
Apa yang ingin kamu lakukan?,Indonesian,id
Cad ba mhaith leat a dhéanamh?,Irish,ga
Cosa vuoi fare?,Italian,it
あなたは何をしたいですか？,Japanese,ja
Apa sing arep sampeyan lakoni?,Javanese,jv
ನೀನು ಏನು ಮಾಡಲು ಬಯಸಿರುವೆ?,Kannada,kn
Сіз не істегіңіз келеді?,Kazakh,kk
តើ​អ្នក​ចង់​ធ្វើអ្វី?,Khmer,km
Urashaka gukora iki?,Kinyarwanda,rw
तुमकां कितें करपाचें आसा?,Konkani,gom
뭐하고 싶어?,Korean,ko
Wetin yu want fɔ du?,Krio,kri
Tu dixwazî çi bikî?,Kurdish (Kurmanji),ku
ئەتەویت چی بکەیت؟,Kurdish (Sorani),ckb
Сен эмне кылгың келип жатат?,Kyrgyz,ky
ເຈົ້າ​ຕ້ອງ​ການ​ເຮັດ​ຫຍັງ?,Lao,lo
Quid vis facere?,Latin,la
Ko tu gribi darīt?,Latvian,lv
Olingi kosala nini?,Lingala,ln
Ką tu nori veikti?,Lithuanian,lt
Oyagala kukola ki?,Luganda,lg
Wat wëlls du maachen?,Luxembourgish,lb
Што сакаш да правиш?,Macedonian,mk
अहाँ की करय चाहैत छी?,Maithili,mai
Inona no tianao hatao?,Malagasy,mg
nak buat apa?,Malay,ms
നിങ്ങൾക്ക് എന്താണ് ചെയ്യേണ്ടത്?,Malayalam,ml
Xi trid tagħmel?,Maltese,mt
He aha taau e hiahia ana?,Maori,mi
तुम्हाला काय करायचं आहे?,Marathi,mr
Eng nge i tih duh?,Mizo,lus
Чи юу хийхийг хүсч байна?,Mongolian,mn
သင်ဘာလုပ်ချင်လို့လဲ?,Myanmar (Burmese),my
त के गर्न चाहन्छ्स?,Nepali,ne
Hva vil du gjøre?,Norwegian,no
Kodi mukufuna kutani?,Nyanja (Chichewa),ny
ଆପଣ କଣ କରିବାକୁ ଚାହୁଁଛନ୍ତି?,Odia (Oriya),or
Maal gochuu barbaadda?,Oromo,om
تاسو څه کول غواړئ؟,Pashto,ps
میخوای چیکار کنی؟,Persian,fa
Co chcesz robić?,Polish,pl
O que você quer fazer?,Portuguese,pt
ਤੁਸੀਂ ਕੀ ਕਰਨਾ ਚਾਹੁੰਦੇ ਹੋ?,Punjabi,pa
¿Imatataq ruwayta munanki?,Quechua,qu
Ce vreţi să faceţi?,Romanian,ro
Что ты хочешь делать?,Russian,ru
O le a le mea e te mana'o e fai?,Samoan,sm
किं कर्तुम् इच्छसि ?,Sanskrit,sa
Dè tha thu airson a dhèanamh?,Scots Gaelic,gd
O nyaka go dira eng?,Sepedi,nso
Шта желиш да радиш?,Serbian,sr
U batla ho etsa eng?,Sesotho,st
Unoda kuitei?,Shona,sn
توهان ڇا ڪرڻ چاهيو ٿا؟,Sindhi,sd
ඔයාට කුමක් ද කරන්න ඕන?,Sinhala,si
Čo chceš robiť?,Slovak,sk
Kaj želiš delati?,Slovenian,sl
Maxaa rabtaa inaa sameeyo?,Somali,so
¿Qué es lo que quieres hacer?,Spanish,es
Anjeun badé kumaha?,Sundanese,su
Unataka kufanya nini?,Swahili,sw
Vad vill du göra?,Swedish,sv
Шумо чи мехоҳед?,Tajik,tg
நீங்கள் என்ன செய்ய விரும்புகிறீர்கள்?,Tamil,ta
Нишлисең килә?,Tatar,tt
మీరు ఏమి చేయాలనుకుంటున్నారు?,Telugu,te
เธออยากทำอะไรล่ะ?,Thai,th
እንታይ ክትገብር ትደሊ?,Tigrinya,ti
Xana u lava ku endla yini?,Tsonga,ts
Ne yapmak istiyorsun?,Turkish,tr
Näme etmek isleýärsiň?,Turkmen,tk
Dɛn na wopɛ sɛ woyɛ?,Twi,ak
Що ти хочеш робити?,Ukrainian,uk
آپ کیا کرنا چاہتے ہیں؟,Urdu,ur
نېمە قىلماقچى؟,Uyghur,ug
Nima qilmoqchisiz?,Uzbek,uz
Bạn muốn làm gì?,Vietnamese,vi
Beth ydych chi eisiau ei wneud?,Welsh,cy
Ingaba ufuna ntoni?,Xhosa,xh
וואס ווילסטו טוהן?,Yiddish,yi
Kini o fẹ ṣe?,Yoruba,yo
Ufuna ukwenzani?,Zulu,zu